user_id,order_id,order_value,order_date,delivery_pincode
U000001,O000001,945.97,2026-04-20,613332
U000002,O000002,948.63,2026-04-21,687203
U000002,O000003,951.19,2026-04-22,687203
U000003,O000004,950.57,2026-04-22,573210
U000004,O000005,946.92,2026-04-22,799767
U000004,O000006,936.22,2026-04-23,799767
U000005,O000007,941.12,2026-04-21,681151
U000006,O000008,938.56,2026-04-20,858190
U000007,O000009,937.95,2026-04-20,345398
U000007,O000010,955.32,2026-04-21,345398
U000008,O000011,954.39,2026-04-20,303990
U000009,O000012,943.6,2026-04-20,535683
U000010,O000013,946.11,2026-04-21,316371
U000011,O000014,961.38,2026-04-20,272864
U000011,O000015,939.11,2026-04-20,272864
U000012,O000016,942.39,2026-04-20,734083
U000012,O000017,948.23,2026-04-20,734083
U000013,O000018,957.76,2026-04-22,720059
U000014,O000019,2097.86,2026-02-03,555124
U000014,O000020,2096.57,2026-02-03,555124
U000015,O000021,2099.81,2026-02-02,329561
U000016,O000022,2077.62,2026-02-02,211004
U000016,O000023,2084.71,2026-02-02,211004
U000017,O000024,2084.92,2026-02-03,557154
U000018,O000025,2083.77,2026-02-05,473042
U000019,O000026,2095.12,2026-02-03,727077
U000020,O000027,2079.77,2026-02-03,797711
U000020,O000028,2083.1,2026-02-04,797711
U000021,O000029,2102.58,2026-02-02,508308
U000022,O000030,2094.07,2026-02-02,684072
U000023,O000031,2081.17,2026-02-02,757868
U000024,O000032,2102.74,2026-02-03,395718
U000025,O000033,2078.38,2026-02-02,854716
U000026,O000034,1804.88,2025-10-31,608541
U000027,O000035,1802.32,2025-10-31,842531
U000028,O000036,1789.52,2025-11-01,237440
U000029,O000037,1812.8,2025-11-01,572706
U000029,O000038,1815.94,2025-11-02,572706
U000030,O000039,1800.61,2025-11-02,246753
U000031,O000040,1808.05,2025-10-31,690607
U000031,O000041,1813.53,2025-10-31,690607
U000032,O000042,1809.32,2025-10-31,636617
U000033,O000043,1793.52,2025-11-02,255756
U000033,O000044,1809.87,2025-11-03,255756
U000034,O000045,1801.74,2025-10-31,842359
U000034,O000046,1789.09,2025-11-01,842359
U000035,O000047,1790.83,2025-11-02,143330
U000035,O000048,1804.61,2025-11-03,143330
U000036,O000049,1800.44,2025-11-02,126608
U000037,O000050,1810.07,2025-11-02,673767
U000037,O000051,1795.81,2025-11-03,673767
U000038,O000052,1811.01,2025-11-01,506280
U000038,O000053,1795.98,2025-11-01,506280
U000039,O000054,1797.33,2025-11-01,363083
