user_id,cluster_type,cluster_id
U000001,ring_hard,RING_HARD_01
U000002,ring_hard,RING_HARD_01
U000003,ring_hard,RING_HARD_01
U000004,ring_hard,RING_HARD_01
U000005,ring_hard,RING_HARD_01
U000006,ring_hard,RING_HARD_01
U000007,ring_hard,RING_HARD_01
U000008,ring_hard,RING_HARD_01
U000009,ring_hard,RING_HARD_01
U000010,ring_hard,RING_HARD_01
U000011,ring_hard,RING_HARD_01
U000012,ring_hard,RING_HARD_01
U000013,ring_hard,RING_HARD_01
U000014,ring_hard,RING_HARD_02
U000015,ring_hard,RING_HARD_02
U000016,ring_hard,RING_HARD_02
U000017,ring_hard,RING_HARD_02
U000018,ring_hard,RING_HARD_02
U000019,ring_hard,RING_HARD_02
U000020,ring_hard,RING_HARD_02
U000021,ring_hard,RING_HARD_02
U000022,ring_hard,RING_HARD_02
U000023,ring_hard,RING_HARD_02
U000024,ring_hard,RING_HARD_02
U000025,ring_hard,RING_HARD_02
U000026,ring_hard,RING_HARD_03
U000027,ring_hard,RING_HARD_03
U000028,ring_hard,RING_HARD_03
U000029,ring_hard,RING_HARD_03
U000030,ring_hard,RING_HARD_03
U000031,ring_hard,RING_HARD_03
U000032,ring_hard,RING_HARD_03
U000033,ring_hard,RING_HARD_03
U000034,ring_hard,RING_HARD_03
U000035,ring_hard,RING_HARD_03
U000036,ring_hard,RING_HARD_03
U000037,ring_hard,RING_HARD_03
U000038,ring_hard,RING_HARD_03
U000039,ring_hard,RING_HARD_03
U000040,ring_hard,RING_HARD_03
U000041,ring_hard,RING_HARD_04
U000042,ring_hard,RING_HARD_04
U000043,ring_hard,RING_HARD_04
U000044,ring_hard,RING_HARD_04
U000045,ring_hard,RING_HARD_04
U000046,ring_hard,RING_HARD_04
U000047,ring_hard,RING_HARD_04
U000048,ring_hard,RING_HARD_04
U000049,ring_hard,RING_HARD_04
U000050,ring_hard,RING_HARD_04
U000051,ring_hard,RING_HARD_04
U000052,ring_hard,RING_HARD_04
U000053,ring_hard,RING_HARD_04
U000054,ring_hard,RING_HARD_04
U000055,ring_hard,RING_HARD_05
U000056,ring_hard,RING_HARD_05
U000057,ring_hard,RING_HARD_05
U000058,ring_hard,RING_HARD_05
U000059,ring_hard,RING_HARD_05
U000060,ring_hard,RING_HARD_05
U000061,ring_hard,RING_HARD_05
U000062,ring_hard,RING_HARD_05
U000063,ring_hard,RING_HARD_06
U000064,ring_hard,RING_HARD_06
U000065,ring_hard,RING_HARD_06
U000066,ring_hard,RING_HARD_06
U000067,ring_hard,RING_HARD_06
U000068,ring_hard,RING_HARD_06
U000069,ring_hard,RING_HARD_06
U000070,ring_hard,RING_HARD_06
U000071,ring_hard,RING_HARD_06
U000072,ring_hard,RING_HARD_06
U000073,ring_hard,RING_HARD_06
U000074,ring_hard,RING_HARD_06
U000075,ring_hard,RING_HARD_06
U000076,ring_hard,RING_HARD_06
U000077,ring_hard,RING_HARD_07
U000078,ring_hard,RING_HARD_07
U000079,ring_hard,RING_HARD_07
U000080,ring_hard,RING_HARD_07
U000081,ring_hard,RING_HARD_07
U000082,ring_hard,RING_HARD_07
